company_name,phone,address,postal_code,municipality,province,business_purpose,social_capital,start_date,coordinates,url
REINO BATATERO SL,349337947,CL ROSA LUXEMBURG BL.LOCAL NUM.14,08960,Sant Just Desvern,Barcelona,ACTIVIDAD PRINCIPAL: 4764 / COMERCIO AL POR MENOR DE JUEGOS Y JUGUETES. OTRAS ACTIVIDADES: 4762 / COMERCIO AL POR MENOR DE PERIODICOS Y OTRAS PUBLICACIONES PERIODICAS Y ARTICULOS DE PAPELERIA. 4761 / COMERCIO AL POR MENO. ETC,"10,00 Euros",01/06/2025,,https://www.datoscif.es/empresa/reino-batatero-sl
IRIA CHARGER SL,+34931358488,CL ESQUIROL NUM.4,08500,Vic,Barcelona,"DISEÑO, FABRICACION Y COMERCIALIZACION DE CARGADORES ELECTRICOS. CNAE DE LA ACTIVIDAD PRINCIPAL 4669","3.000,00 Euros",12/05/2025,"41.95381509194818,2.276966345247542",https://www.datoscif.es/empresa/iria-charger-sl
JOU CARS OSONA 2025 SL,+34938831330,CL RIPOLL NUM.65,08500,Vic,Barcelona,"LA COMPRAVENTA DE VEHICULOS, ASI COMO LA INTERMEDIACION EN OPERACIONES DE FINANCIACION, INTERMEDIACION CON ASEGURADORAS Y GESTIONES INMOBILIARIAS. EL CNAE DE LA ACTIVIDAD PRINCIPAL ES EL 4671","3.000,00 Euros",12/05/2025,"41.94700993325858,2.257451883610901",https://www.datoscif.es/empresa/jou-cars-osona-2025-sl
APEX ENERGY SL,300273969,C/ carretas 55 - SI,28770,Colmenar Viejo,Madrid,"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares","3.000.000,00 Euros",01/06/2025,"40.66227030039570,-3.76866060655468",https://www.datoscif.es/empresa/apex-energy-sl
AG CONSTRULOW SL,+34686324480,"PLAZA DE LA LABRANZA, 5 11500",11500,El Puerto de Santa María,Cádiz,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios","27.000,00 Euros",29/05/2025,"36.62907845530537,-6.20979160151939",https://www.datoscif.es/empresa/ag-construlow-sl
JANGS 786 SL,+34931260638,CL NICARAGUA NUM.153,08029,Barcelona,Barcelona,"ACTIVIDAD PRINCIPAL: 4711 / COMERCIO AL POR MENOR NO ESPECIALIZADO CON PREDOMINIO DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO. OTRAS ACTIVIDADES: 5330 / SERVICIOS DE INTERMEDIACION PARA LAS ACTIVIDADES POSTALES ETC","3.000,00 Euros",20/07/2025,"41.38709291601689,2.136206589773012",https://www.datoscif.es/empresa/jangs-786-sl
ALIMENTOS HERMANOS LLANOS SL,+34924551400,"C/ SERRANILLO, 45",06310,Puebla de Sancho Pérez,Badajoz,"-El comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco (CNAE 4711). -la promoción inmobiliaria de edificaciones; -la fabricación de estructuras metálicas y sus componentes. -La adquisición, administración y enajenación y, en genera","3.000,00 Euros",30/04/2025,"38.39370403266584,-6.40218944416524",https://www.datoscif.es/empresa/alimentos-hermanos-llanos-sl
FRUITIK SL,+34936617750,CL EUSEBI GUELL NUM.44 ESC.A PTA.01,08830,Sant Boi de Llobregat,Barcelona,"ACTIVIDAD PRINCIPAL: 4711 / COMERCIO AL POR MENOR NO ESPECIALIZADO CON PREDOMINIO DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO. OTRAS ACTIVIDADES: 5611 / RESTAURANTES","3.000,00 Euros",15/06/2025,"41.34764185760724,2.033399478771163",https://www.datoscif.es/empresa/fruitik-sl
PISALEMA GROUP SL,+34910052628,PLAZA CIUDAD DE BRUJAS S/N - MERCADO CENTRAL,46001,València,Valencia,"-Comercio al por mayor y por menor de productos alimenticios y bebidas, y fabricación de pastas alimenticias, platos cocinados y precocinados. El código C.N.A.E de la actividad principal es: 4711.- Comercio al por menor no especializado con predominio de productos alimenticios, bebidas y tabaco","3.000,00 Euros",22/05/2025,"39.47354975101521,-0.37995514962180",https://www.datoscif.es/empresa/pisalema-group-sl
TRANSPORTES LOGISTICA VARELA E HIJO SL,+34954456677,CALLE CL GUILLERMO STEWART HOWIE Número74,,Alicante/Alacant,Alicante/Alacant,Transporte de mercancías por carretera,"60.000,00 Euros",01/06/2025,,https://www.datoscif.es/empresa/transportes-logistica-varela-e-hijo-sl
TRANSPORTES ISAAC SL,+34965107788,CALLE PRINCESA MERCEDES Número6 3 IZ,03006,Alicante/Alacant,Alicante/Alacant,Transporte de mercancías por carretera,"9.500,00 Euros",02/06/2025,"38.34517694725652,-0.50363154253201",https://www.datoscif.es/empresa/transportes-isaac-sl
TRANS ILUCION SL,+34943665639,"C/ ARRASATE, Nº3-2ºIZDA.",20005,Donostia/San Sebastián,Gipuzkoa,Transporte de mercancías por carretera,"3.000,00 Euros",08/05/2025,"43.31891773037537,-1.97967220869277",https://www.datoscif.es/empresa/trans-ilucion-sl
FASTAXION SL,+34977221414,"BLOC EL SALVADOR, Km 0 2º B 43007",43007,Tarragona,Tarragona,Transporte de mercancías por carretera,"3.100,00 Euros",01/06/2025,"41.13954425024882,1.247849155171370",https://www.datoscif.es/empresa/fastaxion-sl
URSUBA BILOBA SL,+34987550211,C/ SIERRA PAMBLEY 9 - 2º,24420,Fabero,León,Código CNAE de la actividad principal: 5510: Hoteles y alojamientos similares. Actividades de apoyo a la agricultura -CNAE 0161-; Explotación de otro ganado bovino y búfalos -CNAE 0142-; Restaurantes -CNAE 5611-; Actividades de construcción especializada en la construcción de edificios -CNAE 434-,"3.000,00 Euros",07/05/2025,"42.76770272306392,-6.62726531170505",https://www.datoscif.es/empresa/ursuba-biloba-sl
JMRD&ACO SL,556437230,"C/ CALDERON DE LA BARCA, 6 11160",11160,Barbate,Cádiz,La sociedad tiene por objeto el desarrollo de las actividades correspondientes a los siguientes códigos y descripciones de Clasificación Nacional de Actividades Económicas: Actividad Principal: 47.71 / Comercio al por menor de prendas de vestir. Otras actividades: 47.51 / Comercio al por menor de te,"3.000,00 Euros",01/04/2025,"36.19039424487342,-5.92076218168878",https://www.datoscif.es/empresa/jmrd-aco-sl
KINEVO SOLUTIONS SL,+34936934300,CL TRAVESERA DE LES CORTS NUM.348 P.7 PTA.3,08750,Barcelona,Barcelona,ACTIVIDAD PRINCIPAL: 4774 / COMERCIO AL POR MENOR DE ARTICULOS MEDICOS Y ORTOPEDICOS. OTRAS ACTIVIDADES: 4778 / COMERCIO AL POR MENOR DE OTROS PRODUCTOS NUEVOS,"3.000,00 Euros",02/06/2025,,https://www.datoscif.es/empresa/kinevo-solutions-sl
IPARFEED LOGISTIC SL,+34943618840,C/ ANTXOTXIPI Nº4.,20305,Irun,Gipuzkoa,"Actividad Principal: El transporte de mercancías por carretera en sus más amplios términos y en particular el de cereales, piensos y cualesquiera otros productos para la alimentación, tanto como materia prima como productos elaborados. Otras actividades: Actividades conexas al transporte y etc","60.000,00 Euros",14/05/2025,"43.33923416363523,-1.76413949300268",https://www.datoscif.es/empresa/iparfeed-logistic-sl
URDIAINTEAM SL,+34943376055,"C/ OLA, Nº 2 BAJO.-",20160,Lasarte-Oria,Gipuzkoa,"LA EXPLOTACION DE ESTABLECIMIENTOS DE RESTAURANTES, BARES, CAFETERIAS Y SERVICIOS DE HOSTELERIA EN GENERAL.-","10.000,00 Euros",15/05/2025,"43.26736335113927,-2.02062548102425",https://www.datoscif.es/empresa/urdiainteam-sl
CEBALLOS TEHERAN SL,+34943632126,"C/ JULIAN ETXEBERRIA Nº12, BAJO.",20600,Eibar,Gipuzkoa,"La explotación de negocios de hostelería con servicios de cafetería, bar y restaurante","3.200,00 Euros",16/04/2025,"43.18568876074453,-2.46971624426904",https://www.datoscif.es/empresa/ceballos-teheran-sl
LOKI ENTRETENIMIENTO SL,319380590,"C/ MIGUEL ARIAS, 2 06400",06400,Don Benito,Badajoz,"- La gestión y explotación de bares, cafeterías y restaurantes. - Creación y organización de eventos y espectáculos. - Elaboración de comidas preparadas. Provisión de comidas preparadas para eventos y otros servicios de comidas en establecimientos y a domicilio. Servicios de catering. C.N.A.E. de la","1.000,00 Euros",23/05/2025,"38.98048180499581,-5.86262962142414",https://www.datoscif.es/empresa/loki-entretenimiento-sl
MARKETING DIGITAL EXTREMEÑO SL,+34621344155,"C/ SEGUNDA CRUZ, 18",06400,Don Benito,Badajoz,"La prestación de toda una serie de servicios de publicidad, con recursos propios o mediante subcontratación, incluidos el asesoramiento; los servicios de creativos y la producción de material publicitario; la planificación y organización de campañas publicitarias y de marketing; la colocación de anu","3.000,00 Euros",23/05/2025,"38.95080402368485,-5.86159935260784",https://www.datoscif.es/empresa/marketing-digital-extremeno-sl
PROMINUS SITJAR SL,+34682825965,C/ GREMI DE FERRERS 39 2 A,07009,Palma,Illes Balears,"La promoción, construcción, explotación, compra, venta, alquiler y arrendamiento de bienes inmuebles, así como sus reparaciones y mantenimientos posteriores","3.000,00 Euros",30/04/2025,"39.60388402339908,2.673673337788403",https://www.datoscif.es/empresa/prominus-sitjar-sl
ALAIA AVENIDAS SL,+34871182617,AVDA COMTE SALLENT 13 BAJOS,07003,Palma,Illes Balears,"La explotación de restaurantes, cafeterías, bares, establecimientos de hostelería y demás centros de ocio, la compra y venta de productos y mercancías para la realización de aquellas explotaciones. La prestación de servicios de catering con la elaboración de comidas, banquetes, aniversarios de empre","3.000,00 Euros",08/05/2025,"39.57828604796662,2.650906511132840",https://www.datoscif.es/empresa/alaia-avenidas-sl
PROYECTOS Y CONSTRUCCIONES DIZ SL,+34971796623,C/ ANDREU FELIU 26 2 A,07010,Palma,Illes Balears,"La sociedad tiene por objeto la construcción de edificios, viviendas unifamiliares o plurifamiliares. -CNAE de la actividad principal: 410-","2.730,00 Euros",02/05/2025,"39.58323576722984,2.648225077473311",https://www.datoscif.es/empresa/proyectos-y-construcciones-diz-sl
ALPHA COOLING SPAIN SL,+34680160134,C/ GALDENT 20 - SON VIDA,07199,Palma,Illes Balears,"Comercialización, distribución, financiación y franquicia, así como el alquiler y venta de aparatos para promover la salud y el bienestar Individual. La adquisición por cualquier título, urbanización, venta, explotación y arrendamiento de terrenos y propiedades inmobiliarias de toda clase","3.000,00 Euros",15/05/2025,"39.55459088030494,2.778200089051098",https://www.datoscif.es/empresa/alpha-cooling-spain-sl
PLG NEXUS HOLDING SL,+34934150213,CL GONGORA NUM.42,08042,Barcelona,Barcelona,ACTIVIDAD PRINCIPAL: 6421 / ACTIVIDADES DE SOCIEDADES HOLDING,"1,00 Euros",22/05/2025,"41.44274503158322,2.174454234840030",https://www.datoscif.es/empresa/plg-nexus-holding-sl
ECOMOD HOMES SL,549116766,CL SEGARRA NUM.8,08233,Vacarisses,Barcelona,"ACTIVIDAD PRINCIPAL: 4101 / CONSTRUCCION DE EDIFICIOS RESIDENCIALES. OTRAS ACTIVIDADES: 4322 / FONTANERIA, INSTALACION DE SISTEMAS DE CALEFACCION Y AIRE ACONDICIONADO. 4334 / PINTURA Y ACRISTALAMIENTO. ETC","3.001,00 Euros",01/06/2025,"41.58992961919761,1.892209221572204",https://www.datoscif.es/empresa/ecomod-homes-sl
DUALEX CAPITAL SL,+34685936295,CL SANT PERE NUM.32 P.1 PTA.1,08392,Sant Andreu de Llavaneres,Barcelona,"ACTIVIDAD PRINCIPAL: 1429 / CONFECCION DE OTRAS PRENDAS DE VESTIR Y ACCESORIOS N.C.O.P.. OTRAS ACTIVIDADES: 4751 / COMERCIO AL POR MENOR DE TEXTILES.  4771 / COMERCIO AL POR MENOR DE PRENDAS DE VESTIR, ETC","3.000,00 Euros",01/06/2025,"41.55684933274141,2.496986145834247",https://www.datoscif.es/empresa/dualex-capital-sl
PROYECTO FACAI SL,+34661795210,PZ EUROPA NUM.6 P.14 PTA.E,08907,L'Hospitalet de Llobregat,Barcelona,"ACTIVIDAD PRINCIPAL: 5611 / RESTAURANTES. OTRAS ACTIVIDADES: 1085 / ELABORACION DE PLATOS Y COMIDAS PREPARADOS. 5640 / ACTIVIDADES DE INTERMEDIACION PARA LOS SERVICIOS DE COMIDAS Y BEBIDAS. 5630 / SERVICIOS DE BEBIDAS, ETC","3.000,00 Euros",29/05/2025,"41.35420196414849,2.114779539768067",https://www.datoscif.es/empresa/proyecto-facai-sl
JEMAESANT SL,+34933080475,CL DIPUTACIO NUM.238 P.5 PTA.1,08007,Barcelona,Barcelona,"LA ACTIVIDAD INMOBILIARIA EN GENERAL ENTENDIDA EN SU MAS AMPLIA ACEPCION, ASI COMO TAMBIEN LA PROMOCION DE TODO TIPO DE INMUEBLES. ETC","3.000,00 Euros",29/05/2025,"41.38835169136079,2.164863677070125",https://www.datoscif.es/empresa/jemaesant-sl
DLG CONSTRUCCIONES 73 SL,+34693956114,CL LA SELVA NUM.14,08397,Pineda de Mar,Barcelona,ACTIVIDAD PRINCIPAL: 4101 / CONSTRUCCION DE EDIFICIOS RESIDENCIALES. OTRAS ACTIVIDADES: 4102 / CONSTRUCCION DE EDIFICIOS NO RESIDENCIALES,"3.000,00 Euros",30/05/2025,"41.61986799859905,2.674219414863355",https://www.datoscif.es/empresa/dlg-construcciones-73-sl
PINEISOAK SL,+34934437900,CL CLOT NUM.179,08027,Barcelona,Barcelona,ACTIVIDAD PRINCIPAL: 6811 / COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA. OTRAS ACTIVIDADES: 4101 / CONSTRUCCION DE EDIFICIOS RESIDENCIALES. 6832 / OTRAS ACTIVIDADES INMOBILIARIAS POR CUENTA DE TERCEROS. 6812 / ETC,"3.000,00 Euros",19/05/2025,"41.41400249332691,2.189984923208701",https://www.datoscif.es/empresa/pineisoak-sl
ACTIMANOS BOG SL,+34934029400,CL AIGUES DEL LLOBREGAT NUM.117,08906,L'Hospitalet de Llobregat,Barcelona,"ACTIVIDAD PRINCIPAL: 4101 / CONSTRUCCION DE EDIFICIOS RESIDENCIALES. OTRAS ACTIVIDADES: 5320 / OTRAS ACTIVIDADES POSTALES Y DE MENSAJERIA. 4322 / FONTANERIA, INSTALACION DE SISTEMAS DE CALEFACCION Y AIRE ACONDICIONADO, ETC","3.000,00 Euros",02/06/2025,"41.37144413192242,2.120717858254085",https://www.datoscif.es/empresa/actimanos-bog-sl
SCACCIATO SL,+34914320066,CL VALLDOREIX NUM.10,08172,Sant Cugat del Vallès,Barcelona,ACTIVIDAD PRINCIPAL: 5611 / RESTAURANTES,"3.000,00 Euros",30/05/2025,"41.47022711772155,2.080273880911818",https://www.datoscif.es/empresa/scacciato-sl
OM SAI GLOBAL BCN SL,+34995895895,CL CRAYWINCKEL NUM.17,08022,Barcelona,Barcelona,"ACTIVIDAD PRINCIPAL: 4712 / OTRO COMERCIO AL POR MENOR NO ESPECIALIZADO. OTRAS ACTIVIDADES: 4932 / TRANSPORTE NO REGULAR DE PASAJEROS POR CARRETERA. 4321 / INSTALACIONES ELECTRICAS. 4722 / COMERCIO AL POR MENOR DE CARNE, ETC","3.000,00 Euros",02/06/2025,"41.41154101665898,2.139330612353771",https://www.datoscif.es/empresa/om-sai-global-bcn-sl
LUNALA THAI MASSAGE SL,+34611938532,CL DE PERE IV NUM.165,08018,Barcelona,Barcelona,ACTIVIDAD PRINCIPAL: 9622 / ACTIVIDADES DE CUIDADOS DE BELLEZA Y OTRAS ACTIVIDADES DE TRATAMIENTO DE BELLEZA,"2,00 Euros",30/05/2025,"41.40336874263467,2.197909884517001",https://www.datoscif.es/empresa/lunala-thai-massage-sl
TOGA AI SL,+34686592367,AV DIAGONAL NUM.449 P.4,08036,Barcelona,Barcelona,"ASESORAMIENTO EN PUBLICIDAD: PLANIFICACION Y DESARROLLO DE ESTRATEGIAS PUBLICITARIAS PARA EMPRESAS. SERVICIOS CREATIVOS: CREACION DE CAMPAÑAS PUBLICITARIAS, INCLUYENDO DISEÑOS, TEXTOS Y MATERIAL AUDIOVISUAL.ETC","3.000,00 Euros",22/04/2025,"41.39343370955541,2.149076257371331",https://www.datoscif.es/empresa/toga-ai-sl
SEFER BROTHERS SL,+34609818635,"PS MARE DE DEU DEL COLL, 72, LOCAL",08023,Barcelona,Barcelona,"CNAE ACTIVIDAD PRINCIPAL 4727: COMERCIO AL POR MENOR DE OTROS PRODUCTOS ALIMENTICIOS. COMERCIO AL MAYOR Y MENOR, DISTRIBUCION COMERCIAL, IMPORTACION Y EXPORTACION DE TODO TIPO DE PRODUCTOS RELACIONADOS CON ALIMENTACION,ETC","3.000,00 Euros",19/05/2025,"41.41092937538543,2.147942243320825",https://www.datoscif.es/empresa/sefer-brothers-sl
CUCUMBRU3000 SL,+34640705283,CL SALVADOR OLIVELLA NUM. 6 LOCAL 69,08870,Sitges,Barcelona,"6812 / PROMOCION INMOBILIARIA. OTRAS ACTIVIDADES: LA ADQUISICION, TENENCIA, EXPLOTACION, ARRENDAMIENTO, ENAJENACION Y ADMINISTRACION DE BIENES INMUEBLES, TANTO RUSTICOS COMO URBANOS, INCLUYENDO LOCALES COMERCIALES, ETC","2,00 Euros",14/04/2025,"41.23872770876609,1.805347631198444",https://www.datoscif.es/empresa/cucumbru3000-sl
SERPRODI ESPAÑA DISTRIBUCIONES SL,+34692434079,CL SAN FERRAN NUM.45 P.4 PTA.D,08205,Sabadell,Barcelona,"LA COMERCIALIZACION, DISTRIBUCION, IMPORTACION Y EXPORTACION DE PRODUCTOS ALIMENTARIO Y BEBIDAS DE TODO TIPO, TANTO AL POR MAYOR COMO AL POR MENOR.  LA INTERMEDIACION COMERCIAL NACIONAL E INTERNACIONAL, ETC","100,00 Euros",15/05/2025,,https://www.datoscif.es/empresa/serprodi-espana-distribuciones-sl
RENOV 4 YOU SL,+34902757540,CL MUNTANER NUM.322 P.3 PTA.2,08021,Barcelona,Barcelona,"LA INSTALACION Y REPARACION ELECTRICA EN GENERAL. LA REALIZACION DE TRABAJOS DE AISLAMIENTO TERMICO Y ACUSTICO EN EDIFICIOS.LA REALIZACION DE REFORMAS, REPARACIONES, REHABILITACIONES, ETC","3.000,00 Euros",29/04/2025,"41.39746875302508,2.145594255043890",https://www.datoscif.es/empresa/renov-4-you-sl
RENOVA BY BJ SL,346417533,CL MUNTANER NUM.322 P.3 PTA.2,08021,Barcelona,Barcelona,"LA INSTALACION Y REPARACION ELECTRICA EN GENERAL. LA REALIZACION DE TRABAJOS DE AISLAMIENTO TERMICO Y ACUSTICO EN EDIFICIOS. LA REALIZACION DE REFORMAS, REPARACIONES, REHABILITACIONES Y OBRAS DE CONSTRUCCION, ETC","3.000,00 Euros",24/04/2025,"41.39746875302508,2.145594255043890",https://www.datoscif.es/empresa/renova-by-bj-sl
LCO HOUSES SL,+34933562989,CL PONCE DE LEON NUM.4,08960,Sant Just Desvern,Barcelona,"ORGANIZACION, PROMOCION Y GESTION DE EVENTOS TAL Y COMO BODAS Y COMUNIONES (CNAE 96.99 - ACTIVIDAD PRINCIPAL). ORGANIZACION, PROMOCION Y GESTION DE EXPOSICIONES, CONFERENCIAS Y CONVENCIONES, TALLERES, ETC","350.000,00 Euros",14/05/2025,"41.38219180833971,2.065085208042919",https://www.datoscif.es/empresa/lco-houses-sl
LLENYES SOLE SL,+34606349493,CL ANGEL GUIMERA NUM.77 P.2 PTA.3,08397,Pineda de Mar,Barcelona,"COMPRA VENTA AL MAYOR Y AL DETALLE DE LEÑAS Y DERIVADOS. SERVICIOS FORESTALES DE LIMPIEZA Y MANTENIMIENTO DE FINCAS RUSTICAS, EXTRACCION DE LEÑA, CORCHO Y PRODUCTOS FORESTALES. COMERCIALIZACION DE PRODUCTOS FORESTALES","46.000,00 Euros",22/04/2025,,https://www.datoscif.es/empresa/llenyes-sole-sl
RZG SYSTEMS SL,+34935458795,CL JOSEP IRLA Num.9 ESC. P.1 PTA.2,08195,Sant Cugat del Vallès,Barcelona,"ACTIVIDAD PRINCIPAL 6220-ACTIVIDADES DE CONSULTORIA INFORMATICA Y GESTION DE INSTALACIONES INFORMATICAS. OTRAS ACTIVIDADES: OTRAS ACTIVIDADES DE CONSULTORIA DE GESTION EMPRESARIAL, ETC","3.000,00 Euros",19/05/2025,,https://www.datoscif.es/empresa/rzg-systems-sl
PLANEXIA PLANET SL,292572990,CL BALUARD NUM.6 P.2 PTA.3,08812,Sant Pere de Ribes,Barcelona,"CONSTRUCCION, INSTALACIONES Y MANTENIMIENTO.  IMPORTACION, EXPORTACION, COMERCIO AL POR MENOR Y MAYOR, INCLUYENDO EL COMERCIO POR INTERNET, FABRICACION, DISTRIBUCION, E INTERMEDIACION COMERCIAL DE EQUIPOS INFORMATICOS, ETC","3.000,00 Euros",12/05/2025,"41.22379578204645,1.755605834011211",https://www.datoscif.es/empresa/planexia-planet-sl
RADICE FORTE SL,+34938960196,CL BALUARD NUM.6 P.2 PTA.3,08812,Sant Pere de Ribes,Barcelona,"CONSTRUCCION, INSTALACIONES Y MANTENIMIENTO.  IMPORTACION, EXPORTACION, COMERCIO AL POR MENOR Y MAYOR, INCLUYENDO EL COMERCIO POR INTERNET, FABRICACION, DISTRIBUCION, E INTERMEDIACION COMERCIAL DE EQUIPOS INFORMATICOS, ETC","3.000,00 Euros",12/05/2025,"41.22379578204645,1.755605834011211",https://www.datoscif.es/empresa/radice-forte-sl
TERRAXEN GROUP SL,+34938933454,CL BALUARD NUM.6 P.2 PTA.3,08812,Sant Pere de Ribes,Barcelona,"CONSTRUCCION, INSTALACIONES Y MANTENIMIENTO.  IMPORTACION, EXPORTACION, COMERCIO AL POR MENOR Y MAYOR, INCLUYENDO EL COMERCIO POR INTERNET, FABRICACION, DISTRIBUCION, E INTERMEDIACION COMERCIAL DE EQUIPOS INFORMATICOS, ETC","3.000,00 Euros",12/05/2025,"41.22379578204645,1.755605834011211",https://www.datoscif.es/empresa/terraxen-group-sl
RENOVATION-SERVICES JGAM SL,+34933381548,CL OCCIDENTE NUM.38 P.1 PTA.1,08904,L'Hospitalet de Llobregat,Barcelona,"INSTALACIONES ELECTRICAS, GAS, AGUA, CALEFACCION, ENERGIA SOLAR. ENERGIA TERMICA, AIRE ACONDICIONADO, CLIMATIZACION,SERVICIOS DE LIMPIEZA, REFORMAS INTEGRALES,INSTALACIONES EN EDIFICIOS, ETC","3.050,00 Euros",24/04/2025,"41.37431277073185,2.118365330758612",https://www.datoscif.es/empresa/renovation-services-jgam-sl
GROUP TRANSITION IBERICA SL,+34614392020,CL MUNTANER NUM.322 P.3 PTA.2,08021,Barcelona,Barcelona,"LA INSTALACION Y REPARACION ELECTRICA EN GENERAL. LA REALIZACION DE TRABAJOS DE AISLAMIENTO TERMICO Y ACUSTICO EN EDIFICIOS. LA REALIZACION DE REFORMAS, REPARACIONES, REHABILITACIONES Y OBRAS DE CONSTRUCCIONES, ETC","3.000,00 Euros",31/03/2025,"41.39746875302508,2.145594255043890",https://www.datoscif.es/empresa/group-transition-iberica-sl
CANOA QUEBRADA INVERSIONS SL,+34973450212,VIA AUGUSTA NUM.48 P.6 PTA.3,08006,Barcelona,Barcelona,LA TENENCIA DE PARTICIPACIONES DE OTRAS SOCIEDADES Y GESTION DE LAS SOCIEDADES PARTICIPADAS. EL CNAE DE LA ACTIVIDAD PRINCIPAL ES 6421,"3.013,00 Euros",11/04/2025,"41.39845744050312,2.153665839393621",https://www.datoscif.es/empresa/canoa-quebrada-inversions-sl
BARCELONA'S GRILL&CHILL SL,349375035,CL CALL NUM.26,08002,Barcelona,Barcelona,"CNAE 5611 RESTAURANTES. CNAE 47 COMERCIO AL POR MENOR. COMERCIO DE TEXTILES, PRODUCTOS ALIMENTICIOS, APARATOS ELECTRICOS, ARTICULOS DEPORTIVOS, SOUVENIRS. SERVICIO DE COMIDA Y BEBIDAS, DONER KEBAB. PANADERIA Y PASTELERIA","1,00 Euros",06/05/2025,"41.38238776651649,2.176567486684910",https://www.datoscif.es/empresa/barcelona-s-grill-chill-sl
MECANITZATS ENRIC PUJOL SL,+34635504390,"CL PLA DE LES ALBES, MONTRODON NUM.1",08552,Taradell,Barcelona,"MECANIZACION DE PIEZAS DE CUALQUIER MATERIAL, MONTAJES INDUSTRIALES Y CUALQUIER OTRA ACTIVIDAD ACCESORIA A LA PRINCIPAL","3.000,00 Euros",13/05/2025,,https://www.datoscif.es/empresa/mecanitzats-enric-pujol-sl
VALTOR-ECOM SL,+34963910335,CL INDUSTRIA NUM.10 P.1 PTA.2,08415,Bigues i Riells,Barcelona,EL COMERCIO AL POR MENOR DE ARTICULOS DE RELOJERIA Y JOYERIA,"3.000,00 Euros",12/05/2025,"41.67732645976513,2.209380974786247",https://www.datoscif.es/empresa/valtor-ecom-sl
SWEET LUXURY DESTINY SL,+34638455584,CL SANTALO NUM.14 ESC.DC P.6 PTA.1,08021,Barcelona,Barcelona,LA COMERCIALIZACION AL POR MAYOR Y AL POR MENOR DE PRODUCTOS ARTESANOS DESTINADOS AL CONSUMO ALIMENTARIO,"18.400,00 Euros",16/05/2025,"41.39529561337582,2.146675488364819",https://www.datoscif.es/empresa/sweet-luxury-destiny-sl
THE BLACK SHEEP GROUP SL,+34658754335,AVDA CASTILLA Número24,09400,Aranda de Duero,Burgos,"Fabricación de juegos y juguetes. Comercio de aparatos electrodomésticos, equipos ferretería, Puestos de comidas, actividades de consultoría de gestión empresarial. Alojamientos turísticos.  Compraventa y Alquiler inmobiliario. Construcción e instalaciones en obras","3.000,00 Euros",30/05/2025,"41.66750414093875,-3.69111887795320",https://www.datoscif.es/empresa/the-black-sheep-group-sl
GREDOS VERA SUR SL,+34670927489,"LOS NARANJOS, 3 0º 10480",10480,Madrigal de la Vera,Cáceres,"Comercio al por menor no especializado con predominio de productos alimenticios, bebidas y tabaco. Comercio al por menor de productos de cosmética e higiene. Comercio al por menor de aparatos electrodomésticos","3.000,00 Euros",21/05/2025,"40.14767933769345,-5.36767561656031",https://www.datoscif.es/empresa/gredos-vera-sur-sl
BOSSANERA INTERNEGOCIOS SL,349272114,"AVDA VIRGEN DE LA MONTAÑA, 1 10001",10004,Cáceres,Cáceres,"Estudios de mercado y realización de encuestas de opinión pública.  Comercio al por mayor de otros alimentos. Actividades de los agentes del comercio al por mayor no especializado. Comercio al por mayor de carne, productos cárnicos; pescado y productos del pescado. Comercio al por mayor de frutas y h","3.000,00 Euros",19/05/2025,"39.47177447220703,-6.37654874205980",https://www.datoscif.es/empresa/bossanera-internegocios-sl
DENTEX GOMEZ Y NAVIO SL,+34623439261,"C/ LAS ERAS, 5 2º B 10300",10300,Navalmoral de la Mata,Cáceres,Clínica dental y sus especialidades. Formación y enseñanza,"3.000,00 Euros",12/04/2025,"39.89177579218384,-5.53299818428350",https://www.datoscif.es/empresa/dentex-gomez-y-navio-sl
